word,noun,adjective,verb,phrasal verb,adverb
a,1,0,0,0,0
A & E,1,0,0,0,0
a cappella,0,1,0,0,1
a fortiori,0,1,0,0,1
à la carte,0,1,0,0,1
à la,0,0,0,0,0
A level,1,0,0,0,0
à la mode,0,1,0,0,1
a priori,0,1,0,0,1
A share,1,0,0,0,0
A-frame,1,0,0,0,0
A, a,1,0,0,0,0
A-line,0,1,0,0,0
aback,0,0,0,0,1
AA rating,1,0,0,0,0
ab initio,0,0,0,0,1
A2,1,0,0,0,0
A.N. Other,1,0,0,0,0
A-OK,0,1,0,0,0
abandonment,1,0,0,0,0
A1,0,1,0,0,0
abandonware,1,0,0,0,0
a/s/l,0,0,0,0,0
ABA,1,0,0,0,0
aah,0,0,0,0,0
AAR,0,0,0,0,0
A-lister,1,0,0,0,0
A-list,1,1,0,0,0
AAA,1,1,0,0,0
A4,1,0,0,0,0
A/B/C share,1,0,0,0,0
aardvark,1,0,0,0,0
A3,1,0,0,0,0
AB,1,0,0,0,0
abalone,1,0,0,0,0
a/c payee (only),1,0,0,0,0
A5,1,0,0,0,0
A/D,0,0,0,0,1
abacus,1,0,0,0,0
abaft,0,0,0,0,1
A/S,0,0,0,0,1
abandoned,0,1,0,0,0
a/r,0,1,0,0,0
abase,0,0,1,0,0
abandon,1,0,1,0,0
ABAP,1,0,0,0,0
abased,0,0,1,0,0
abandoning,0,0,1,0,0
abasing,0,0,1,0,0
abate,0,0,1,0,0
abatement,1,0,0,0,0
abatement order,1,0,0,0,0
abasement,1,0,0,0,0
abashed,0,1,0,0,0
abating,0,0,1,0,0
abbess,1,0,0,0,0
abbreviating,0,0,1,0,0
abbreviation,1,0,0,0,0
abaya,1,0,0,0,0
abbey,1,0,0,0,0
a/c,1,0,0,0,0
abbreviated accounts,1,0,0,0,0
abated,0,0,1,0,0
abductor,1,0,0,0,0
abdomen,1,1,0,0,0
Aberdeenshire,1,0,0,0,0
Aberdeen City,1,0,0,0,0
abduct,1,0,1,0,0
abduction,1,0,0,0,0
abdication,1,0,0,0,0
aberration,1,0,0,0,0
abattoir,1,0,0,0,0
AA,1,1,0,0,0
ABC,1,0,0,0,0
abetment,1,0,0,0,0
abbreviated,0,1,0,0,0
aberrant,0,1,0,0,0
abeyance,1,0,0,0,0
abettor,1,0,0,0,0
ABC method,1,0,0,0,0
abide,0,0,1,1,0
abdominals,1,0,0,0,0
abdominis,0,1,0,0,0
abiding,0,1,0,0,0
abominated,0,0,1,0,0
Abominable Snowman,1,0,0,0,0
abhorrent,0,1,0,0,0
abominable,0,1,0,0,0
abjectly,0,0,0,0,1
abominably,0,0,0,0,1
ablative,1,1,0,0,0
ABCs,0,0,0,0,0
abolish,0,0,1,0,0
abducting,0,0,1,0,0
abject,0,1,0,0,0
abhorring,0,0,0,0,0
abbot,1,0,0,0,0
ablation,1,0,0,0,0
abdicating,0,0,1,0,0
abnormality,1,0,0,0,0
abdicated,0,0,1,0,0
abhorrence,1,0,0,0,0
abolition,1,0,0,0,0
abolishing,0,0,1,0,0
abducted,0,0,1,0,0
abolished,0,0,1,0,0
abhor,1,1,1,0,0
Aberdonian,1,1,0,0,0
abiotic,0,1,0,0,0
ABC1,1,0,0,0,0
ABC analysis,1,0,0,0,0
abdominal,0,1,0,0,0
abdicate,1,0,1,0,0
abided,0,0,1,0,0
ability to pay principle,1,0,0,0,0
ablate,0,0,1,0,0
abet,0,0,1,0,0
abominate,0,0,1,0,0
ably,0,0,0,0,1
ablution,1,0,0,0,0
abolitionist,1,0,0,0,0
abbreviate,0,1,1,0,0
ablaze,0,1,0,0,0
abjure,0,0,1,0,0
ableist,0,1,0,0,0
able seaman,1,0,0,0,0
abomination,1,0,0,0,0
Aboriginal,1,1,0,0,0
aboard,0,0,0,0,1
abnegate,0,0,1,0,0
abnormally,0,0,0,0,1
ableism,1,0,0,0,0
Aborigine,1,0,0,0,0
abort,1,1,1,0,0
abound,0,0,1,0,0
abhorred,0,0,0,0,0
about-face,1,0,0,0,0
abode,1,0,0,0,0
abrade,0,0,1,0,0
abridged,0,1,0,0,0
Aberdeen,1,0,0,0,0
abrasive,1,1,0,0,0
above board,0,1,0,0,1
aborting,0,0,1,0,0
abroad,0,0,0,0,1
abortive,0,1,0,0,0
abruptly,0,0,0,0,1
abrogated,0,0,1,0,0
abrogation,1,0,0,0,0
aborted,0,0,1,0,0
above,0,1,0,0,1
abnormal,1,1,0,0,1
abrasion,1,0,0,0,0
abounded,0,0,1,0,0
Abo,1,0,0,0,0
able,0,1,0,0,1
above the fold,0,1,0,0,1
abrading,0,0,1,0,0
abridgment,1,0,0,0,0
abraded,0,0,1,0,0
above-average,0,1,0,0,0
abrasively,0,0,0,0,1
about,0,1,0,0,1
above-the-line,0,1,0,0,1
Abrahamic,0,1,0,0,0
above-mentioned,0,1,0,0,0
abortion,1,0,0,0,0
abracadabra,0,0,0,0,0
abrupt,0,1,0,0,1
abrasiveness,1,0,0,0,0
abruptness,1,0,0,0,0
abridge,0,1,1,0,0
ability,1,0,0,0,0
abjured,0,0,1,0,0
abjuring,0,0,1,0,0
abrogating,0,0,1,0,0
above par,0,1,0,0,0
abrogate,0,0,1,0,0
