word,noun,adjective,verb,phrasal verb,adverb
A & E,1,0,0,0,0
a cappella,0,1,0,0,1
a,1,0,0,0,0
a fortiori,0,1,0,0,1
à la carte,0,1,0,0,1
à la,0,0,0,0,0
à la mode,0,1,0,0,1
A level,1,0,0,0,0
a priori,0,1,0,0,1
A share,1,0,0,0,0
A-frame,1,0,0,0,0
A, a,1,0,0,0,0
A-line,0,1,0,0,0
A-OK,0,1,0,0,0
AAR,0,0,0,0,0
A/S,0,0,0,0,1
a/r,0,1,0,0,0
AA rating,1,0,0,0,0
abaft,0,0,0,0,1
abandon,1,0,1,0,0
A1,0,1,0,0,0
A.N. Other,1,0,0,0,0
A-lister,1,0,0,0,0
A-list,1,1,0,0,0
aback,0,0,0,0,1
A/B/C share,1,0,0,0,0
a/c payee (only),1,0,0,0,0
A5,1,0,0,0,0
a/c,1,0,0,0,0
A2,1,0,0,0,0
ABA,1,0,0,0,0
A3,1,0,0,0,0
A/D,0,0,0,0,1
aah,0,0,0,0,0
AB,1,0,0,0,0
abalone,1,0,0,0,0
aardvark,1,0,0,0,0
a/s/l,0,0,0,0,0
abandoned,0,1,0,0,0
AAA,1,1,0,0,0
abacus,1,0,0,0,0
A4,1,0,0,0,0
abandonment,1,0,0,0,0
AA,1,1,0,0,0
abandoning,0,0,1,0,0
ABAP,1,0,0,0,0
ab initio,0,0,0,0,1
abased,0,0,1,0,0
abase,0,0,1,0,0
abatement,1,0,0,0,0
abbreviating,0,0,1,0,0
abattoir,1,0,0,0,0
abate,0,0,1,0,0
abbot,1,0,0,0,0
abasing,0,0,1,0,0
abdominis,0,1,0,0,0
abdominals,1,0,0,0,0
abashed,0,1,0,0,0
ABCs,0,0,0,0,0
abandonware,1,0,0,0,0
ABC,1,0,0,0,0
abaya,1,0,0,0,0
abdicate,1,0,1,0,0
abbess,1,0,0,0,0
abated,0,0,1,0,0
abating,0,0,1,0,0
abdominal,0,1,0,0,0
abbreviated,0,1,0,0,0
abbreviated accounts,1,0,0,0,0
ABC analysis,1,0,0,0,0
abbreviation,1,0,0,0,0
abbey,1,0,0,0,0
ABC1,1,0,0,0,0
abdicated,0,0,1,0,0
abductor,1,0,0,0,0
abdicating,0,0,1,0,0
abdication,1,0,0,0,0
abducted,0,0,1,0,0
abduct,1,0,1,0,0
abduction,1,0,0,0,0
abducting,0,0,1,0,0
abbreviate,0,1,1,0,0
aberration,1,0,0,0,0
